targetP,t,P,R,F1,ACC,TP,FP,TN,FN,pred_pos
0.5,0.6530940343781597,0.5043478260869565,0.1254054054054054,0.20086580086580086,0.878688309127949,232,228,13139,1618,460
0.51,0.6907482305358948,0.5113636363636364,0.0972972972972973,0.16348773841961853,0.8789511730301637,180,172,13195,1670,352
0.52,0.7472295247724975,0.524390243902439,0.06972972972972973,0.12309160305343511,0.8792140369323782,129,117,13250,1721,246
0.53,0.7908291203235591,0.5333333333333333,0.05189189189189189,0.09458128078817735,0.8792140369323782,96,84,13283,1754,180
0.54,0.7918200202224469,0.5402298850574713,0.05081081081081081,0.09288537549407115,0.8793454688834855,94,80,13287,1756,174
0.55,0.8047017189079879,0.5526315789473685,0.04540540540540541,0.08391608391608392,0.8794769008345928,84,68,13299,1766,152
0.56,0.8076744186046512,0.5625,0.04378378378378378,0.08124373119358075,0.8796083327857002,81,63,13304,1769,144
0.57,0.81262891809909,0.5714285714285714,0.04108108108108108,0.07665153807362582,0.8796740487612539,76,57,13310,1774,133
0.58,0.8156016177957532,0.5952380952380952,0.04054054054054054,0.07591093117408906,0.8800026286390221,75,51,13316,1775,126
0.59,0.8156016177957532,0.5952380952380952,0.04054054054054054,0.07591093117408906,0.8800026286390221,75,51,13316,1775,126
0.6,0.816592517694641,0.6016260162601627,0.04,0.07501267105930055,0.8800683446145758,74,49,13318,1776,123
